tournamentId,matchNum,teamId,playerName,DBNOs,assists,damageDealt,kills,longestKill,revives,timeSurvived
1,2,5,ArtLaw,2,1,541.83044,4,309.00848,0,1507
1,2,1,Teaplease_,0,0,0.0,0,0.0,0,765
1,2,17,Platochek46,2,1,112.6425,1,42.666874,1,1082
1,2,6,TWITCH-MAYBECH_,1,0,113.839874,1,63.753674,0,894
1,2,19,LowParadox,0,2,139.27942,0,0.0,0,1052
1,2,8,mr-Bot2010,1,0,100.0,1,35.841236,0,625
1,2,3,BaH9_kpytou,1,0,142.01663,1,75.71195,1,1187
1,2,13,kickmehorse,0,0,55.505405,0,0.0,0,1161
1,2,11,Akitsyokai,2,3,583.2726,1,80.95671,2,1786
1,2,17,LOPRIK,1,1,171.92981,1,11.304266,2,1107
1,2,18,jona_____,0,0,10.8,0,0.0,0,144
1,2,14,NE_SOLI,0,0,0.0,0,0.0,0,1243
1,2,19,kotee228,7,0,615.9531,4,282.246,0,1114
1,2,12,TBJpro,2,1,310.496,1,30.3547,1,1424
1,2,7,dallas1995,1,1,112.05082,0,0.0,0,523
1,2,7,kingilyaa,0,1,76.69466,0,0.0,0,523
1,2,4,Ththth1020,4,1,475.64664,2,192.36293,1,1646
1,2,12,Satamet,3,1,390.66055,4,53.134884,0,1339
1,2,18,HS_ZiP666,3,0,500.64938,3,30.237316,0,1035
1,2,13,LawrenceCraft,0,0,141.70207,0,0.0,0,1166
1,2,5,Kiyot7ka,1,0,99.99999,0,0.0,0,953
1,2,9,Frolish,2,0,263.25238,0,0.0,0,927
1,2,8,Sharuse,1,0,88.80211,1,25.316858,0,655
1,2,2,RaiVer59,1,1,244.29967,1,28.85321,4,1303
1,2,12,wisdm,2,2,369.363,0,0.0,0,1396
1,2,14,S_trannik,0,0,123.686195,0,0.0,0,1252
1,2,9,Rocketq_q,1,0,135.0,0,0.0,0,976
1,2,16,Ex_He_3a6aHuJlo,1,0,189.97751,1,1.6533475,1,1034
1,2,11,kAkASHi_KONCH,0,0,0.0,0,0.0,0,784
1,2,6,Temka_001,1,0,100.00001,0,0.0,0,894
1,2,1,MovingAVG,0,0,0.0,0,0.0,0,1193
1,2,11,DED_B_O6ED,3,0,370.82065,3,251.6201,1,1795
1,2,11,Pure_Sosop,3,2,431.06308,3,390.068,0,1795
1,2,17,ponyash,1,0,207.745,2,19.71912,0,1359
1,2,7,QeJimp,2,0,151.62534,2,14.599129,0,523
1,2,18,SKUFFYDOO,0,0,23.438457,0,0.0,0,479
1,2,14,50max,0,0,47.843002,0,0.0,1,1274
1,2,19,UEBANISCHE,2,0,157.833,1,14.885501,1,1118
1,2,15,Sharkologia,0,1,211.0657,1,8.677249,0,1149
1,2,17,naleitechai,0,1,107.715,0,0.0,1,1121
1,2,6,bogatir,2,0,249.99875,0,0.0,1,894
1,2,4,rdFelixArgyle,1,2,27.598886,1,170.87466,2,1528
1,2,13,Salvador007,0,0,48.934784,0,0.0,0,1166
1,2,2,TesSsarion,2,2,426.97168,1,12.486398,0,1360
1,2,1,Ps1h_,0,0,0.0,0,0.0,0,718
1,2,3,Abq_elitetv,0,1,0.0,0,0.0,0,1142
1,2,10,ssantt1,3,0,369.4322,4,229.30505,0,1792
1,2,15,poloz0k,2,0,187.59453,2,62.101566,0,1152
1,2,4,SHOULD_YT-_-,1,0,352.88074,3,33.95781,2,1638
1,2,14,KeyLanaBanana,0,0,0.0,0,0.0,0,1260
1,2,2,hiles8,2,1,224.7727,3,28.4607,1,1178
1,2,15,LaNIPUBG,0,0,0.0,0,0.0,0,621
1,2,3,Lirachka,0,0,0.0,0,0.0,0,1082
1,2,10,ygort123,1,0,242.69681,0,0.0,0,1108
1,3,18,Zoovoo_,0,0,66.66968,0,0.0,0,1146
1,3,17,LOPRIK,3,1,449.0366,4,154.54114,1,1361
1,3,11,Akitsyokai,1,1,130.52829,1,201.30623,0,1476
1,3,13,Zizokko,0,0,67.35,0,0.0,0,181
1,3,13,kickmehorse,0,0,69.299995,0,0.0,0,181
1,3,3,Abq_elitetv,0,0,0.0,0,0.0,0,357
1,3,15,Sharkologia,0,0,133.56639,0,0.0,1,415
1,3,6,bogatir,2,1,173.51,0,0.0,1,958
1,3,10,60M_6EP,3,1,320.7626,1,22.713266,0,995
1,3,12,wisdm,0,1,89.579994,0,0.0,0,1302
1,3,4,GazBro27,1,2,98.53653,1,68.63999,0,1721
1,3,17,naleitechai,0,0,100.0,1,6.572963,0,616
1,3,19,UEBANISCHE,2,2,212.22415,0,0.0,1,1354
1,3,5,ArtLaw,2,0,157.54802,1,3.616543,1,932
1,3,10,ygort123,2,0,253.26152,0,0.0,0,439
1,3,8,mr-Bot2010,1,0,0.0,0,0.0,0,699
1,3,17,Platochek46,2,1,301.54178,2,25.49168,0,1362
1,3,16,NONAME_RD7939,1,1,147.355,0,0.0,0,1153
1,3,11,kAkASHi_KONCH,3,1,448.61215,3,186.30342,1,1485
1,3,15,LaNIPUBG,1,0,188.48523,0,0.0,1,469
1,3,4,Ththth1020,1,2,316.49963,1,7.6084337,2,1721
1,3,19,LowParadox,0,1,236.80956,0,0.0,1,1468
1,3,1,Teaplease_,1,0,75.0,0,0.0,0,1111
1,3,14,KeyLanaBanana,1,0,0.0,0,0.0,0,252
1,3,7,kingilyaa,1,0,334.13614,1,81.92264,0,1442
1,3,17,ponyash,0,2,291.89832,0,0.0,1,1362
1,3,5,Kiyot7ka,1,0,128.35,0,0.0,0,813
1,3,1,MovingAVG,1,0,0.0,0,0.0,0,1326
1,3,2,RaiVer59,0,0,0.0,0,0.0,0,117
1,3,14,50max,0,0,0.0,0,0.0,1,221
1,3,3,TonyKotana,0,0,0.0,0,0.0,0,357
1,3,15,poloz0k,1,0,198.73,0,0.0,0,489
1,3,4,SHOULD_YT-_-,5,2,857.12146,7,85.178955,0,1721
1,3,1,Ps1h_,0,0,0.0,0,0.0,0,1129
1,3,2,OleganPNZ,0,0,51.33712,0,0.0,0,953
1,3,7,dallas1995,2,2,310.34818,1,10.752059,1,1442
1,3,8,Sharuse,0,1,61.92,0,0.0,0,650
1,3,18,jona_____,0,0,89.72893,0,0.0,0,1146
1,3,9,Rocketq_q,0,1,147.82224,1,218.46584,0,721
1,3,3,BaH9_kpytou,1,0,0.0,0,0.0,0,357
1,3,8,ShugarDaddy554,1,0,38.08,1,2.345729,0,802
1,3,7,QeJimp,2,0,424.2033,2,32.55463,0,1442
1,3,11,DED_B_O6ED,1,0,68.51057,0,0.0,0,1456
1,3,11,Pure_Sosop,4,0,479.61273,4,56.670753,0,1485
1,3,1,midasVeno,0,0,0.0,0,0.0,1,1129
1,3,15,SadnesSxWeaknesS,2,0,146.11476,1,18.55446,1,1036
1,3,4,rdFelixArgyle,2,1,232.55463,1,47.493484,0,1721
1,3,3,Lirachka,0,0,0.0,0,0.0,0,357
1,3,18,HS_ZiP666,0,0,100.04432,0,0.0,0,1108
1,3,6,TWITCH-MAYBECH_,4,1,477.93805,2,43.925217,0,958
1,3,5,RoninKraken1703,2,0,300.4925,0,0.0,2,932
1,3,16,Ex_He_3a6aHuJlo,7,0,807.6465,8,65.81919,3,1718
1,3,10,ssantt1,2,0,187.82518,0,0.0,0,527
1,3,14,NE_SOLI,0,0,0.0,0,0.0,0,231
1,3,12,SsSoyer,0,0,47.209717,1,210.91553,1,1293
1,3,9,bakashiniji,0,0,94.44632,0,0.0,0,933
1,3,13,Salvador007,0,0,0.0,0,0.0,0,181
1,3,13,LawrenceCraft,0,0,0.0,0,0.0,0,181
1,3,12,TBJpro,1,1,42.91767,1,94.57904,0,1279
1,3,6,Temka_001,0,0,19.35,0,0.0,1,958
